1,2,3,4,5,6,7,8,9,10,class
QQYQYX,QQYYZZ,XXZZYQ,YYQXQQ,QZYQZX,QXQYXQ,QXQZZX,XZXQQY,QYYQYQ,ZYQYQY,C
ZYXZYQ,XYQYXX,ZYZXXY,XZYZYX,QQXYYQ,ZQQQYX,QXZYZX,ZYQQZZ,YZQQQX,YYYXXY,C
YYQQYZ,XXYQXQ,YZZZYZ,QYZZZZ,XXYZYQ,XQXZXY,ZYXXQQ,QZZYQZ,YQQYZZ,XXXXYQ,B
QYQQYQ,ZXXZZY,YYXXYX,ZZYXXY,QZYZYY,QZZZQX,ZYQXQQ,ZZZZYX,QZYXYY,YXQXYZ,C
QZZQZY,QZQQZQ,ZYQZXQ,YXYQZY,QQYYZY,QQYXZY,YQXZXX,ZZYXYZ,ZYQQQY,ZZYQQZ,C
ZZXQQY,QQQQYY,XZXQQX,ZYZZZX,QYQZXQ,XQYYYZ,YYYQXX,QZXZXX,QZYQYQ,QZZXQQ,C
YZZXXZ,XZXQZX,QXXZZX,ZXXXXZ,ZXYZYQ,QYQXYZ,ZXZXZX,ZXYQYY,ZXQXYZ,QZXQXY,B
QXYXYY,XZZYYY,QYXQQX,ZYYQQX,ZQZYYQ,QXYXQX,YXQYZY,XXXXQY,ZYZYQY,YXYXXX,A
ZZYQXZ,ZQZXZY,QZZZYQ,ZZZYYQ,ZZZYQZ,ZZYQZQ,ZZYYZZ,ZYQZXZ,QQZXXY,YZZZYQ,C
ZXXZYQ,ZZXZZZ,YYQXYQ,ZXQQXY,ZXYZYQ,QQZYZY,ZQXQXX,XZYZQX,XQYZYQ,QXXXQZ,B
XZXYZY,ZYQYXQ,XZXXYQ,YQXXXQ,YZQYXQ,QXYYQY,QQZZXZ,ZYQXZX,ZZXYZZ,ZZZYQQ,A
YYYQZY,QQYYYZ,ZXQXQQ,XYXQYY,QZZYQY,ZZZZZQ,YQXQYY,QYZXYZ,XYZXYZ,XYZXYZ,C
XQQXZX,QQYZZZ,QQQXZZ,ZQXQXZ,ZXQZYQ,QZZQZX,QZZZYQ,ZYQZYQ,QYQXZY,QZZYZZ,B
YZXZXX,YZYZYQ,ZZQZZY,YXYYQY,YZYYYQ,QXYYQY,QXZYZX,XQXXYY,YXYYYY,ZYYZYZ,A
XZZZXZ,XYYZZY,XZXQXQ,ZXXXZX,ZZZZYQ,QQYZXX,QXYZYQ,ZYYYYQ,ZYZYQZ,YQZZYX,B
QXQQYQ,YYQYXX,QQQQQZ,XQQZXQ,YQQYYY,YYXQXQ,ZXQQXQ,QXYQZX,QZYQZY,QZZZXX,C
QQZZZX,YQXYQZ,YQZZYX,YZYQQY,QZXQQQ,QYYQQQ,QQZZXZ,XQQQQZ,XQYZZY,QQZQYZ,C
ZZZYYQ,ZQQQYX,QXQQYQ,QQZYXQ,QQZZZZ,ZZXQYQ,YXZYYQ,XYZQQQ,QYQXZY,ZXQXQZ,C
